x,y,angle
-4.6977827,1.710811073,1.221721727
-4.680439752,1.757702608,1.211721783
-4.662628768,1.80441837,1.201721837
-4.644351528,1.850953686,1.191721891
-4.625609861,1.897303903,1.181721944
-4.606405641,1.943464386,1.171721996
-4.586740787,1.98943052,1.161722047
-4.566617267,2.035197708,1.151722097
-4.546037093,2.080761373,1.141722146
-4.525002322,2.12611696,1.131722194
-4.503515058,2.171259932,1.121722241
-4.481577451,2.216185776,1.111722287
-4.459191692,2.26089,1.101722333
-4.436360022,2.305368132,1.091722378
-4.413084723,2.349615726,1.081722421
-4.389368122,2.393628356,1.071722464
-4.365212592,2.437401622,1.061722507
-4.340620548,2.480931147,1.051722548
-4.315594448,2.524212576,1.041722589
-4.290136796,2.567241584,1.031722629
-4.264250137,2.610013866,1.021722668
-4.23793706,2.652525146,1.011722706
-4.211200196,2.694771173,1.001722744
-4.184042218,2.736747722,0.991722781
-4.156465844,2.778450595,0.981722817
-4.128473829,2.819875623,0.971722853
-4.100068973,2.861018663,0.961722888
-4.071254117,2.901875601,0.951722922
-4.042032142,2.942442351,0.941722956
-4.01240597,2.982714858,0.931722989
-3.982378564,3.022689092,0.921723022
-3.951952926,3.062361058,0.911723053
-3.921132099,3.101726789,0.901723085
-3.889919165,3.140782347,0.891723115
-3.858317246,3.179523827,0.881723146
-3.8263295,3.217947356,0.871723175
-3.793959128,3.25604909,0.861723204
-3.761209365,3.293825221,0.851723233
-3.728083488,3.33127197,0.841723261
-3.694584808,3.368385592,0.831723288
-3.660716675,3.405162378,0.821723315
-3.626482477,3.441598648,0.811723342
-3.591885635,3.477690759,0.801723367
-3.556929611,3.513435103,0.791723393
-3.521617899,3.548828105,0.781723418
-3.485954031,3.583866226,0.771723442
-3.449941573,3.618545961,0.761723467
-3.413584126,3.652863844,0.75172349
-3.376885325,3.686816442,0.741723513
-3.339848842,3.72040036,0.731723536
-3.302478378,3.75361224,0.721723558
-3.264777672,3.786448761,0.71172358
-3.226750493,3.818906639,0.701723602
-3.188400644,3.850982628,0.691723623
-3.14973196,3.882673522,0.681723644
-3.110748307,3.91397615,0.671723664
-3.071453585,3.944887383,0.661723684
-3.031851721,3.97540413,0.651723704
-2.991946677,4.005523339,0.641723723
-2.951742443,4.035241997,0.631723742
-2.911243039,4.064557135,0.62172376
-2.870452516,4.093465819,0.611723778
-2.829374951,4.121965159,0.601723796
-2.788014453,4.150052306,0.591723814
-2.746375158,4.17772445,0.581723831
-2.70446123,4.204978824,0.571723848
-2.66227686,4.231812704,0.561723864
-2.619826266,4.258223405,0.551723881
-2.577113693,4.284208287,0.541723897
-2.534143413,4.309764751,0.531723912
-2.490919722,4.334890242,0.521723928
-2.447446943,4.359582247,0.511723943
-2.403729423,4.383838297,0.501723958
-2.359771534,4.407655966,0.491723972
-2.315577672,4.431032873,0.481723986
-2.271152255,4.45396668,0.471724
-2.226499726,4.476455094,0.461724014
-2.181624551,4.498495866,0.451724028
-2.136531217,4.520086791,0.441724041
-2.091224233,4.541225712,0.431724054
-2.045708129,4.561910513,0.421724067
-1.999987458,4.582139127,0.411724079
-1.954066791,4.60190953,0.401724091
-1.907950721,4.621219747,0.391724103
-1.861643859,4.640067844,0.381724115
-1.815150835,4.658451939,0.371724127
-1.768476299,4.676370193,0.361724138
-1.721624918,4.693820813,0.351724149
-1.674601377,4.710802055,0.34172416
-1.627410379,4.72731222,0.331724171
-1.580056642,4.743349658,0.321724182
-1.532544902,4.758912765,0.311724192
-1.48487991,4.773999985,0.301724202
-1.437066433,4.788609808,0.291724212
-1.389109251,4.802740775,0.281724222
-1.34101316,4.816391471,0.271724232
-1.292782971,4.829560532,0.261724241
-1.244423505,4.842246642,0.25172425
-1.1959396,4.85444853,0.24172426
-1.147336102,4.866164978,0.231724268
-1.098617872,4.877394814,0.221724277
-1.049789783,4.888136914,0.211724286
-1.000856717,4.898390204,0.201724294
-0.951823566,4.90815366,0.191724303
-0.902695236,4.917426304,0.181724311
-0.853476637,4.92620721,0.171724319
-0.804172692,4.934495499,0.161724327
-0.754788332,4.942290343,0.151724334
-0.705328494,4.949590963,0.141724342
-0.655798125,4.956396627,0.131724349
-0.606202177,4.962706656,0.121724356
-0.556545611,4.968520418,0.111724364
-0.506833391,4.973837333,0.101724371
-0.457070489,4.978656869,0.091724377
-0.407261881,4.982978542,0.081724384
-0.357412549,4.986801923,0.071724391
-0.307527476,4.990126627,0.061724397
-0.257611651,4.992952323,0.051724404
-0.207670066,4.995278728,0.04172441
-0.157707715,4.99710561,0.031724416
-0.107729593,4.998432785,0.021724422
-0.0577407,4.999260122,0.011724428
-0.007746033,4.999587537,0.001724434
0.042249407,4.999414997,-0.00827556
0.092240622,4.99874252,-0.018275555
0.142222613,4.997570173,-0.028275549
0.192190381,4.995898074,-0.038275544
0.242138929,4.993726389,-0.048275539
0.292063263,4.991055336,-0.058275533
0.34195839,4.987885181,-0.068275528
0.391819321,4.984216243,-0.078275523
0.44164107,4.980048887,-0.088275518
0.491418655,4.975383531,-0.098275514
0.541147098,4.97022064,-0.108275509
0.590821426,4.964560732,-0.118275504
0.640436672,4.958404372,-0.1282755
0.689987874,4.951752177,-0.138275495
0.739470078,4.94460481,-0.148275491
0.788878335,4.936962987,-0.158275487
0.838207704,4.928827472,-0.168275482
0.887453253,4.920199078,-0.178275478
0.936610056,4.911078669,-0.188275474
0.985673199,4.901467157,-0.19827547
1.034637775,4.891365502,-0.208275466
1.083498888,4.880774714,-0.218275462
1.132251651,4.869695854,-0.228275459
1.18089119,4.858130028,-0.238275455
1.22941264,4.846078394,-0.248275451
1.27781115,4.833542155,-0.258275448
1.326081879,4.820522567,-0.268275444
1.374220001,4.807020931,-0.278275441
1.422220701,4.793038597,-0.288275437
1.470079181,4.778576963,-0.298275434
1.517790653,4.763637476,-0.308275431
1.565350347,4.748221629,-0.318275428
1.612753508,4.732330965,-0.328275424
1.659995394,4.715967071,-0.338275421
1.707071281,4.699131585,-0.348275418
1.753976463,4.681826189,-0.358275415
1.800706248,4.664052615,-0.368275412
1.847255963,4.64581264,-0.37827541
1.893620954,4.627108088,-0.388275407
1.939796585,4.607940829,-0.398275404
1.985778237,4.58831278,-0.408275401
2.031561313,4.568225903,-0.418275399
2.077141234,4.547682209,-0.428275396
2.122513443,4.526683749,-0.438275394
2.167673401,4.505232626,-0.448275391
2.212616594,4.483330983,-0.458275389
2.257338527,4.460981011,-0.468275386
2.301834728,4.438184944,-0.478275384
2.346100747,4.414945064,-0.488275382
2.390132158,4.391263692,-0.498275379
2.433924557,4.367143198,-0.508275377
2.477473566,4.342585993,-0.518275375
2.520774829,4.317594534,-0.528275373
2.563824016,4.292171319,-0.538275371
2.606616824,4.266318891,-0.548275368
2.649148971,4.240039834,-0.558275366
2.691416206,4.213336777,-0.568275364
2.733414301,4.18621239,-0.578275362
2.775139057,4.158669386,-0.588275361
2.816586301,4.130710518,-0.598275359
2.857751889,4.102338583,-0.608275357
2.898631703,4.073556417,-0.618275355
2.939221657,4.0443669,-0.628275353
2.979517691,4.014772949,-0.638275351
3.019515776,3.984777525,-0.64827535
3.059211911,3.954383626,-0.658275348
3.098602128,3.923594292,-0.668275346
3.137682487,3.892412602,-0.678275345
3.17644908,3.860841675,-0.688275343
3.21489803,3.828884666,-0.698275342
3.253025494,3.796544773,-0.70827534
3.290827658,3.763825228,-0.718275339
3.328300741,3.730729304,-0.728275337
3.365440997,3.697260311,-0.738275336
3.402244712,3.663421594,-0.748275334
3.438708205,3.629216539,-0.758275333
3.47482783,3.594648565,-0.768275331
3.510599975,3.559721129,-0.77827533
3.546021063,3.524437725,-0.788275329
3.581087551,3.48880188,-0.798275327
3.615795934,3.452817157,-0.808275326
3.65014274,3.416487156,-0.818275325
3.684124535,3.379815509,-0.828275324
3.71773792,3.342805884,-0.838275322
3.750979535,3.30546198,-0.848275321
3.783846055,3.267787534,-0.85827532
3.816334193,3.229786311,-0.868275319
3.848440701,3.191462113,-0.878275318
3.880162368,3.152818771,-0.888275317
3.911496022,3.113860151,-0.898275316
3.942438529,3.074590147,-0.908275315
3.972986796,3.035012686,-0.918275314
4.003137768,2.995131727,-0.928275313
4.032888429,2.954951257,-0.938275312
4.062235804,2.914475295,-0.948275311
4.091176959,2.873707888,-0.95827531
4.119709,2.832653112,-0.968275309
4.147829074,2.791315074,-0.978275308
4.175534368,2.749697907,-0.988275307
4.202822112,2.707805772,-0.998275306
4.229689577,2.665642859,-1.008275305
4.256134077,2.623213384,-1.018275304
4.282152967,2.58052159,-1.028275303
4.307743645,2.537571746,-1.038275303
4.332903552,2.494368147,-1.048275302
4.357630173,2.450915113,-1.058275301
4.381921034,2.40721699,-1.0682753
4.405773706,2.363278148,-1.078275299
4.429185805,2.319102979,-1.088275299
4.452154989,2.274695903,-1.098275298
4.474678962,2.230061358,-1.108275297
4.49675547,2.18520381,-1.118275296
4.518382306,2.140127743,-1.128275296
4.539557308,2.094837665,-1.138275295
4.560278357,2.049338105,-1.148275294
4.580543383,2.003633614,-1.158275294
4.600350358,1.95772876,-1.168275293
4.619697302,1.911628136,-1.178275292
4.63858228,1.86533635,-1.188275292
4.657003404,1.818858032,-1.198275291
4.674958831,1.77219783,-1.208275291
4.692446767,1.72536041,-1.21827529
4.709465461,1.678350455,-1.228275289
4.726013213,1.631172667,-1.238275289
4.742088368,1.583831763,-1.248275288
4.757689317,1.536332477,-1.258275288
4.772814502,1.488679559,-1.268275287
4.787462409,1.440877775,-1.278275287
4.801631574,1.392931904,-1.288275286
4.81532058,1.344846741,-1.298275286
4.828528057,1.296627094,-1.308275285
4.841252686,1.248277786,-1.318275285
4.853493194,1.199803651,-1.328275284
4.865248356,1.151209537,-1.338275284
4.876516998,1.102500303,-1.348275283
4.887297992,1.05368082,-1.358275283
4.89759026,1.00475597,-1.368275282
4.907392773,0.955730645,-1.378275282
4.916704552,0.906609748,-1.388275281
4.925524663,0.857398191,-1.398275281
4.933852227,0.808100894,-1.408275281
4.941686409,0.758722789,-1.41827528
4.949026427,0.709268811,-1.42827528
4.955871546,0.659743908,-1.438275279
4.962221083,0.610153031,-1.448275279
4.968074401,0.560501138,-1.458275279
4.973430916,0.510793197,-1.468275278
4.978290092,0.461034176,-1.478275278
4.982651443,0.411229053,-1.488275277
4.986514533,0.361382807,-1.498275277
4.989878976,0.311500423,-1.508275277
4.992744436,0.261586889,-1.518275276
4.995110624,0.211647197,-1.528275276
4.996977306,0.16168634,-1.538275276
4.998344295,0.111709315,-1.548275275
4.999211453,0.061721119,-1.558275275
4.999578694,0.011726751,-1.568275275
4.999445982,-0.03826879,-1.578275275
4.998813329,-0.088260503,-1.588275274
4.997680799,-0.138243391,-1.598275274
4.996048505,-0.188212455,-1.608275274
4.993916611,-0.238162697,-1.618275273
4.991285329,-0.288089123,-1.628275273
4.988154922,-0.337986741,-1.638275273
4.984525704,-0.38785056,-1.648275273
4.980398038,-0.437675594,-1.658275272
4.975772336,-0.487456861,-1.668275272
4.970649061,-0.537189383,-1.678275272
4.965028726,-0.586868187,-1.688275272
4.958911891,-0.636488304,-1.698275271
4.95229917,-0.686044772,-1.708275271
4.945191223,-0.735532637,-1.718275271
4.937588761,-0.784946949,-1.728275271
4.929492544,-0.834282767,-1.73827527
4.920903382,-0.883535157,-1.74827527
4.911822133,-0.932699195,-1.75827527
4.902249707,-0.981769963,-1.76827527
4.89218706,-1.030742555,-1.77827527
4.881635198,-1.079612074,-1.788275269
4.870595176,-1.128373633,-1.798275269
4.859068099,-1.177022355,-1.808275269
4.84705512,-1.225553375,-1.818275269
4.834557439,-1.273961842,-1.828275269
4.821576306,-1.322242913,-1.838275268
4.80811302,-1.370391761,-1.848275268
4.794168926,-1.418403571,-1.858275268
4.77974542,-1.466273542,-1.868275268
4.764843943,-1.513996886,-1.878275268
4.749465985,-1.561568833,-1.888275268
4.733613085,-1.608984623,-1.898275267
4.717286828,-1.656239517,-1.908275267
4.700488846,-1.703328788,-1.918275267
4.683220818,-1.750247727,-1.928275267
4.665484473,-1.796991643,-1.938275267
4.647281583,-1.843555861,-1.948275267
4.628613969,-1.889935726,-1.958275266
4.609483498,-1.936126598,-1.968275266
4.589892081,-1.982123859,-1.978275266
4.56984168,-2.02792291,-1.988275266
4.549334298,-2.07351917,-1.998275266
4.528371986,-2.118908079,-2.008275266
4.506956842,-2.1640851,-2.018275266
4.485091005,-2.209045714,-2.028275265
4.462776663,-2.253785425,-2.038275265
4.440016046,-2.29829976,-2.048275265
4.416811432,-2.342584266,-2.058275265
4.393165141,-2.386634516,-2.068275265
4.369079537,-2.430446105,-2.078275265
4.344557028,-2.47401465,-2.088275265
4.319600067,-2.517335797,-2.098275265
4.29421115,-2.560405212,-2.108275264
4.268392816,-2.603218588,-2.118275264
4.242147645,-2.645771645,-2.128275264
4.215478264,-2.688060127,-2.138275264
4.188387338,-2.730079805,-2.148275264
4.160877577,-2.771826478,-2.158275264
4.132951731,-2.81329597,-2.168275264
4.104612594,-2.854484135,-2.178275264
4.075862999,-2.895386853,-2.188275264
4.046705821,-2.936000036,-2.198275264
4.017143976,-2.976319621,-2.208275263
3.98718042,-3.016341576,-2.218275263
3.95681815,-3.0560619,-2.228275263
3.9260602,-3.09547662,-2.238275263
3.894909648,-3.134581795,-2.248275263
3.863369609,-3.173373515,-2.258275263
3.831443235,-3.2118479,-2.268275263
3.79913372,-3.250001102,-2.278275263
3.766444296,-3.287829307,-2.288275263
3.73337823,-3.325328733,-2.298275263
3.699938829,-3.362495627,-2.308275263
3.666129437,-3.399326276,-2.318275263
3.631953436,-3.435816994,-2.328275262
3.597414242,-3.471964134,-2.338275262
3.56251531,-3.50776408,-2.348275262
3.527260129,-3.543213252,-2.358275262
3.491652225,-3.578308106,-2.368275262
3.455695159,-3.613045133,-2.378275262
3.419392526,-3.647420857,-2.388275262
3.382747957,-3.681431843,-2.398275262
3.345765116,-3.715074689,-2.408275262
3.308447701,-3.74834603,-2.418275262
3.270799445,-3.78124254,-2.428275262
3.232824111,-3.813760928,-2.438275262
3.194525497,-3.845897944,-2.448275262
3.155907433,-3.877650373,-2.458275262
3.116973781,-3.909015041,-2.468275262
3.077728435,-3.93998881,-2.478275262
3.038175318,-3.970568583,-2.488275261
2.998318386,-4.000751303,-2.498275261
2.958161625,-4.030533951,-2.508275261
2.91770905,-4.059913549,-2.518275261
2.876964707,-4.08888716,-2.528275261
2.83593267,-4.117451884,-2.538275261
2.794617042,-4.145604868,-2.548275261
2.753021954,-4.173343294,-2.558275261
2.711151566,-4.200664389,-2.568275261
2.669010066,-4.227565421,-2.578275261
2.626601667,-4.2540437,-2.588275261
2.58393061,-4.280096579,-2.598275261
2.541001162,-4.305721451,-2.608275261
2.497817616,-4.330915755,-2.618275261
2.45438429,-4.35567697,-2.628275261
2.410705528,-4.380002622,-2.638275261
2.366785697,-4.403890277,-2.648275261
2.32262919,-4.427337547,-2.658275261
2.278240422,-4.450342087,-2.668275261
2.233623831,-4.472901596,-2.678275261
2.18878388,-4.495013819,-2.688275261
2.143725053,-4.516676544,-2.698275261
2.098451855,-4.537887605,-2.70827526
2.052968813,-4.558644881,-2.71827526
2.007280477,-4.578946297,-2.72827526
1.961391413,-4.598789821,-2.73827526
1.915306213,-4.618173471,-2.74827526
1.869029483,-4.637095307,-2.75827526
1.822565852,-4.655553437,-2.76827526
1.775919966,-4.673546016,-2.77827526
1.729096489,-4.691071245,-2.78827526
1.682100105,-4.70812737,-2.79827526
1.634935511,-4.724712686,-2.80827526
1.587607426,-4.740825535,-2.81827526
1.540120581,-4.756464305,-2.82827526
1.492479725,-4.771627433,-2.83827526
1.444689622,-4.786313402,-2.84827526
1.396755052,-4.800520743,-2.85827526
1.348680808,-4.814248037,-2.86827526
1.300471696,-4.82749391,-2.87827526
1.252132538,-4.840257037,-2.88827526
1.203668168,-4.852536143,-2.89827526
1.155083433,-4.864329999,-2.90827526
1.10638319,-4.875637427,-2.91827526
1.057572309,-4.886457294,-2.92827526
1.008655673,-4.89678852,-2.93827526
0.959638171,-4.906630071,-2.94827526
0.910524707,-4.915980963,-2.95827526
0.86132019,-4.924840262,-2.96827526
0.812029543,-4.93320708,-2.97827526
0.762657693,-4.941080582,-2.98827526
0.713209578,-4.948459979,-2.99827526
0.663690143,-4.955344535,-3.00827526
0.614104339,-4.961733561,-3.01827526
0.564457125,-4.967626417,-3.02827526
0.514753466,-4.973022515,-3.03827526
0.464998333,-4.977921315,-3.04827526
0.415196699,-4.982322327,-3.05827526
0.365353547,-4.98622511,-3.06827526
0.315473859,-4.989629276,-3.07827526
0.265562624,-4.992534482,-3.08827526
0.215624834,-4.99494044,-3.098275259
0.165665481,-4.996846907,-3.108275259
0.115689561,-4.998253694,-3.118275259
0.065702073,-4.99916066,-3.128275259
0.015708014,-4.999567713,-3.138275259
-0.034427506,-4.999503466,-3.148283267
-0.084265623,-4.998911578,-3.158283107
-0.134248967,-4.997818469,-3.168282962
-0.184219866,-4.996225569,-3.178282819
-0.234172333,-4.994133054,-3.188282679
-0.284101368,-4.991541136,-3.198282541
-0.334001978,-4.988450073,-3.208282406
-0.383869174,-4.984860174,-3.218282274
-0.433697969,-4.980771798,-3.228282144
-0.48348338,-4.976185354,-3.238282016
-0.533220429,-4.971101301,-3.248281891
-0.582904143,-4.965520147,-3.258281768
-0.632529554,-4.95944245,-3.268281647
-0.6820917,-4.952868819,-3.278281529
-0.731585625,-4.94579991,-3.288281413
-0.78100638,-4.93823643,-3.298281299
-0.830349022,-4.930179137,-3.308281187
-0.879608619,-4.921628835,-3.318281077
-0.928780244,-4.912586379,-3.328280969
-0.97785898,-4.903052674,-3.338280863
-1.026839921,-4.893028674,-3.348280759
-1.075718168,-4.88251538,-3.358280657
-1.124488833,-4.871513844,-3.368280557
-1.17314704,-4.860025166,-3.378280459
-1.221687924,-4.848050495,-3.388280363
-1.27010663,-4.835591029,-3.398280268
-1.318398317,-4.822648012,-3.408280175
-1.366558156,-4.809222741,-3.418280084
-1.414581332,-4.795316556,-3.428279995
-1.462463042,-4.780930849,-3.438279907
-1.510198498,-4.766067059,-3.448279821
-1.557782927,-4.750726671,-3.458279736
-1.605211571,-4.734911219,-3.468279653
-1.652479687,-4.718622286,-3.478279572
-1.699582549,-4.7018615,-3.488279492
-1.746515446,-4.684630537,-3.498279413
-1.793273686,-4.666931119,-3.508279336
-1.839852593,-4.648765018,-3.518279261
-1.886247509,-4.63013405,-3.528279186
-1.932453796,-4.611040077,-3.538279114
-1.978466831,-4.591485008,-3.548279042
-2.024282016,-4.571470801,-3.558278972
-2.069894767,-4.550999455,-3.568278903
-2.115300525,-4.530073018,-3.578278836
-2.160494748,-4.508693582,-3.588278769
-2.205472918,-4.486863286,-3.598278704
-2.250230537,-4.464584313,-3.60827864
-2.294763129,-4.441858889,-3.618278578
-2.339066242,-4.418689288,-3.628278516
-2.383135444,-4.395077827,-3.638278456
-2.42696633,-4.371026866,-3.648278397
-2.470554517,-4.346538811,-3.658278338
-2.513895645,-4.32161611,-3.668278281
-2.556985381,-4.296261256,-3.678278225
-2.599819417,-4.270476784,-3.68827817
-2.642393468,-4.244265273,-3.698278116
-2.684703278,-4.217629343,-3.708278063
-2.726744615,-4.190571658,-3.718278011
-2.768513276,-4.163094924,-3.72827796
-2.810005085,-4.135201889,-3.73827791
-2.851215891,-4.106895341,-3.748277861
-2.892141575,-4.078178111,-3.758277813
-2.932778043,-4.049053071,-3.768277766
-2.973121233,-4.019523133,-3.778277719
-3.013167109,-3.989591251,-3.788277673
-3.052911668,-3.959260417,-3.798277629
-3.092350936,-3.928533664,-3.808277585
-3.131480968,-3.897414065,-3.818277542
-3.170297851,-3.865904732,-3.828277499
-3.208797704,-3.834008816,-3.838277458
-3.246976678,-3.801729506,-3.848277417
-3.284830954,-3.76907003,-3.858277377
-3.322356747,-3.736033654,-3.868277338
-3.359550305,-3.702623682,-3.878277299
-3.396407908,-3.668843453,-3.888277261
-3.43292587,-3.634696348,-3.898277224
-3.469100541,-3.600185779,-3.908277188
-3.504928302,-3.565315199,-3.918277152
-3.540405572,-3.530088093,-3.928277117
-3.575528802,-3.494507985,-3.938277083
-3.610294479,-3.458578433,-3.948277049
-3.644699129,-3.422303029,-3.958277016
